latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
36.24333,27.96268,323.51,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,300.39,37.9,N,0
36.24174,27.9691,348.61,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,314.33,37.9,N,0
36.24016,27.97551,338.67,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,320.66,45.33,N,0
36.23856,27.98199,316.07,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,300.77,45.33,N,0
36.23537,27.97394,313.98,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,300.77,45.33,N,0
36.22732,27.98549,355.83,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,304.76,14.5,N,0
36.2258,27.97072,327.52,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,305.13,6.39,N,0
36.22413,27.97742,333.82,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.27,6.39,N,0
36.2225,27.98397,340.15,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.5,14.5,N,0
36.2209,27.99041,337.8,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.42,14.5,N,0
36.22106,27.9689,341.49,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,305.95,12.98,N,0
36.21936,27.97577,323.43,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.6,12.98,N,0
36.21772,27.98236,326.01,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.59,9.02,N,0
36.21617,27.98858,348.41,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,304.12,9.02,N,0
36.21626,27.96738,340.04,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,306.52,12.98,N,0
36.21456,27.97419,367,0.61,0.54,2023-07-23,0038,N20,VIIRS,h,2,307.73,12.98,N,0
36.21294,27.9807,333.91,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,304.97,9.02,N,0
36.21138,27.98694,341.86,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.2,9.02,N,0
36.20977,27.97261,349.54,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,306.12,10.45,N,0
36.20814,27.97912,339.15,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,306.32,8.3,N,0
36.20655,27.98548,322.86,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,301.31,8.3,N,0
36.205,27.99169,338.47,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.96,7.21,N,0
36.21145,27.96584,313.18,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,301.93,10.45,N,0
36.20336,27.9775,343.13,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,305.73,8.3,N,0
36.20176,27.9839,346.78,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,305.73,8.3,N,0
36.20021,27.99006,341.24,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.78,7.21,N,0
36.19873,27.99603,319.9,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,301.73,7.21,N,0
36.22975,27.98526,340.34,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.5,11.62,N,0
36.22494,27.98373,339.21,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.75,11.62,N,0
36.22337,27.99023,336.72,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,304.39,17.93,N,0
36.22813,27.97054,317.48,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.53,3.12,N,0
36.2234,27.9687,334.68,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,305.42,7.04,N,0
36.22176,27.97549,335.1,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.97,7.66,N,0
36.22014,27.98219,325.31,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,301.89,7.66,N,0
36.21861,27.98852,342.71,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,304.11,14.13,N,0
36.21864,27.96698,338.9,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.28,7.04,N,0
36.21697,27.97387,351.83,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,307.54,7.66,N,0
36.21536,27.98052,330.27,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,304.07,7.66,N,0
36.21384,27.98678,339.53,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.39,14.13,N,0
36.21382,27.96553,326.42,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,301.59,7.86,N,0
36.21217,27.97234,348.47,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,308.97,14.5,N,0
36.21058,27.97889,340.23,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,308.38,14.5,N,0
36.20753,27.99143,339.74,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.81,9.64,N,0
36.2058,27.97727,349.56,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,306.65,14.5,N,0
36.20271,27.98997,328.95,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,301.87,9.64,N,0
36.19945,27.98203,343.77,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,306.75,9.21,N,0
36.19794,27.98824,325.38,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.78,9.21,N,0
36.19648,27.99424,340.18,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,304.93,12.69,N,0
36.20768,27.94817,314.7,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,300.52,2.6,N,0
36.20102,27.97557,317.08,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.56,3.4,N,0
36.1979,27.96714,324.86,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.04,3.4,N,0
36.19467,27.98038,348.23,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,306.65,9.21,N,0
36.19316,27.98656,336.61,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,307.17,9.21,N,0
36.19169,27.99258,355.26,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,307.25,12.69,N,0
36.18991,27.97864,323.49,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.26,13.11,N,0
36.18839,27.98489,354.81,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,315.82,13.11,N,0
36.18689,27.99102,340.5,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,306.25,8.8,N,0
36.19151,27.9721,312.74,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,301.91,2.74,N,0
36.18356,27.98341,335.68,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.74,13.11,N,0
36.18202,27.98973,320.94,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.22,8.8,N,0
36.17558,27.97361,310.84,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,300.83,1.12,N,0
36.16811,27.94066,339.45,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.76,7.08,N,0
36.16348,27.93846,339.79,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.44,7.08,N,0
36.16518,27.93154,315.03,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,300.79,7.46,N,0
36.15882,27.93633,327.82,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.49,5.64,N,0
36.14761,27.93978,334.59,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.43,4.13,N,0
36.14599,27.94633,326.74,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,304.95,5.09,N,0
36.14119,27.94478,333.21,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,304.05,5.09,N,0
36.14282,27.9382,311.8,0.61,0.54,2023-07-23,0038,N20,VIIRS,n,2,300.86,4.13,N,0
36.13642,27.94309,339.62,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.39,11.38,N,0
36.1348,27.94967,320.95,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.01,11.38,N,0
36.13174,27.9411,337.12,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,300.74,11.38,N,0
36.13013,27.94757,338.17,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,310.83,11.38,N,0
36.12545,27.94549,348.9,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,305.14,33.58,N,0
36.12391,27.95172,314.8,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,301.24,8.07,N,0
36.12075,27.94353,351.72,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,311.51,33.58,N,0
36.11919,27.94982,336.08,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,305.06,8.07,N,0
36.11595,27.94199,341.98,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,307.84,65.28,N,0
36.11439,27.94824,325.44,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,323.3,107.83,N,0
36.11109,27.94067,335.28,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,301.95,65.28,N,0
36.10955,27.94682,367,0.62,0.54,2023-07-23,0038,N20,VIIRS,h,2,337.96,107.83,N,0
36.10793,27.95334,320.93,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.54,107.83,N,0
36.10468,27.94555,354.9,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,311.04,28.61,N,0
36.10623,27.9393,312.98,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,301.67,13.49,N,0
36.10308,27.95194,317.75,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.49,28.61,N,0
36.09979,27.9443,351.83,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,315.88,28.61,N,0
36.09823,27.95057,324.43,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,304.71,28.61,N,0
36.10141,27.93784,312.29,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,301.64,13.49,N,0
36.12908,27.94167,336.07,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,300.31,16.68,N,0
36.12754,27.94807,338.2,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,306.89,18.96,N,0
36.12286,27.94598,354.19,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,310.46,18.96,N,0
36.12135,27.95223,317.59,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.09,18.96,N,0
36.11811,27.94421,340.57,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,317.98,78.37,N,0
36.11657,27.95059,339.03,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,306.3,78.37,N,0
36.11328,27.94277,341.26,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,313.51,78.37,N,0
36.11175,27.94907,334.72,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,326.8,78.37,N,0
36.10843,27.94144,329.36,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.37,77.26,N,0
36.1069,27.94771,367,0.62,0.54,2023-07-23,0038,N20,VIIRS,h,2,332.14,77.26,N,0
36.10533,27.9542,315.53,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,301.74,7.02,N,0
36.10357,27.94006,339.67,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,301.76,77.26,N,0
36.10203,27.94643,327.47,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,320.19,77.26,N,0
36.1005,27.95275,314.65,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.62,7.02,N,0
36.09715,27.94516,350.45,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,315.32,52.28,N,0
36.09564,27.95139,334.16,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,306.26,43.09,N,0
36.09235,27.94361,340.58,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.17,52.28,N,0
36.09077,27.95009,367,0.62,0.54,2023-07-23,0038,N20,VIIRS,h,2,320.31,43.09,N,0
36.08596,27.94854,348.46,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,311.55,31.36,N,0
36.08437,27.95508,329.78,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,305.62,31.36,N,0
36.08755,27.942,315.6,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,302.43,15.49,N,0
36.08119,27.94682,338.9,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,316.07,31.36,N,0
36.07962,27.95323,331.85,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,305.55,31.36,N,0
36.07643,27.94508,342.3,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,310.53,43.05,N,0
36.0748,27.95173,334.78,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,311.59,43.05,N,0
36.07312,27.9586,314.88,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.83,3.28,N,0
36.07169,27.9432,341.47,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,305.14,43.05,N,0
36.06999,27.95019,332.43,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,315.06,43.05,N,0
36.0683,27.95708,331.38,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,306.23,3.28,N,0
36.06663,27.96389,315.85,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,304.69,3.28,N,0
36.06693,27.94147,342.65,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.81,179.23,N,0
36.06351,27.95541,337.76,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,306.48,15.3,N,0
36.06183,27.96231,314.43,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,304.15,15.3,N,0
36.06042,27.94686,347.33,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,311.47,179.23,N,0
36.0587,27.95388,338.35,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,308.75,15.3,N,0
36.06209,27.94005,313.18,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.09,179.23,N,0
36.05702,27.96069,318.36,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,305.48,15.3,N,0
36.05556,27.94551,342.27,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,308.32,43.22,N,0
36.05387,27.9524,336.15,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,310.74,20.91,N,0
36.05221,27.95914,318.21,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,305.36,20.91,N,0
36.05072,27.94406,339.91,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,304.21,43.22,N,0
36.04903,27.95091,337.44,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,315.3,20.91,N,0
36.04737,27.95766,327.14,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,303.17,20.91,N,0
36.04419,27.94946,345.27,0.62,0.54,2023-07-23,0038,N20,VIIRS,n,2,304.56,8.16,N,0
36.07058,27.94052,337.68,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,310.16,7.8,D,0
36.06942,27.93611,342.67,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,308.87,6.6,D,0
36.07596,27.93828,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,313.75,28.9,D,0
36.07479,27.93381,342.07,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,316.31,24.45,D,0
36.08247,27.94034,351.32,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,309.54,28.9,D,0
36.08131,27.9359,355.35,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,314.42,28.9,D,0
36.08014,27.93147,341.38,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,307.43,24.45,D,0
36.05632,27.9374,339.18,0.42,0.61,2023-07-23,1018,N20,VIIRS,l,2,311.97,8.39,D,0
36.07418,27.93706,350.64,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,311.68,13.03,D,0
36.0807,27.93905,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,311.61,14.1,D,0
36.07952,27.93468,347.98,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,322.74,45.41,D,0
36.07832,27.93022,349.55,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,307.74,45.41,D,0
36.08729,27.94131,344.45,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,308.67,14.1,D,0
36.08606,27.93674,352.84,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,308.38,14.1,D,0
36.09273,27.93931,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,311.26,21.9,D,0
36.09946,27.94212,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,309.01,14.7,D,0
36.10494,27.94028,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,310.1,42.39,D,0
36.1118,27.94358,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,308.42,42.39,D,0
36.11723,27.94158,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,315.04,79.03,D,0
36.11855,27.94648,351.14,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,311.1,23.61,D,0
36.12385,27.944,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,311.37,23.61,D,0
36.12264,27.93945,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,337.94,79.03,D,0
36.12506,27.94853,341.76,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,313.15,23.61,D,0
36.12135,27.93461,350.8,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,309.04,79.03,D,0
36.12,27.92955,341.99,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,307.06,27.42,D,0
36.13029,27.94575,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,316.69,530.97,D,0
36.12668,27.93221,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,307.92,266.92,D,0
36.12542,27.92751,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,309.47,9.19,D,0
36.13147,27.95019,346.92,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,312.31,29.73,D,0
36.12422,27.92299,348.12,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,309.45,9.19,D,0
36.123,27.91844,341.71,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,309.35,7.08,D,0
36.12912,27.94135,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,l,2,356.93,530.97,D,0
36.12793,27.93689,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,l,2,329.23,266.92,D,0
36.13675,27.94758,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,313.32,29.73,D,0
36.13089,27.92563,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,311.96,9.19,D,0
36.13789,27.95189,342.67,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,310.54,29.73,D,0
36.13206,27.93002,353.1,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,315,266.92,D,0
36.12972,27.92123,351.13,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,310.05,9.19,D,0
36.12851,27.9167,340.8,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,309.11,7.08,D,0
36.13558,27.94323,353.7,0.42,0.61,2023-07-23,1018,N20,VIIRS,l,2,335.4,530.97,D,0
36.13442,27.93888,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,l,2,368.2,530.97,D,0
36.13325,27.93447,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,l,2,367.45,266.92,D,0
36.1422,27.94566,354.44,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,309.92,19.59,D,0
36.14099,27.94111,356,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,323.9,281.16,D,0
36.13747,27.92789,356.04,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,311.26,212.41,D,0
36.13634,27.92366,355.98,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,309.34,17.61,D,0
36.13519,27.91935,345.07,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,310.12,17.61,D,0
36.13979,27.93662,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,l,2,374.06,281.16,D,0
36.13862,27.93223,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,l,2,369.05,212.41,D,0
36.14641,27.93909,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,310.01,281.16,D,0
36.14291,27.9259,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,312.6,212.41,D,0
36.14766,27.94379,341.61,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,309.3,19.59,D,0
36.14177,27.92161,345.67,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,311.11,17.61,D,0
36.14523,27.93464,352.52,0.42,0.61,2023-07-23,1018,N20,VIIRS,l,2,332.17,281.16,D,0
36.14407,27.93026,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,l,2,348.33,212.41,D,0
36.15081,27.93321,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,314.82,68.33,D,0
36.14964,27.9288,207.93,0.42,0.61,2023-07-23,1018,N20,VIIRS,l,2,318.62,112.58,D,0
36.15634,27.93157,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,313.68,68.33,D,0
36.17197,27.99061,343.4,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,303.07,2.53,D,0
36.17749,27.98898,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,313.35,16.88,D,0
36.16383,27.93732,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,316,11.01,D,0
36.16278,27.93338,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,311.5,8.68,D,0
36.17624,27.98428,339.57,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,302.35,4.03,D,0
36.16492,27.94146,347.4,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,315.07,11.01,D,0
36.16173,27.92939,351.89,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,311.43,8.68,D,0
36.17131,27.94308,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,314.55,15.82,D,0
36.1702,27.93889,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,312.68,11.01,D,0
36.18165,27.98223,351.57,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,309.69,4.03,D,0
36.19222,27.99986,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,310.07,28.31,D,0
36.19099,27.99515,355.2,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,312.5,28.31,D,0
36.18706,27.98022,345,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,310.73,5.52,D,0
36.19241,27.97796,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,309.4,5.52,D,0
36.19889,28.00265,343.14,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,307.59,24.95,D,0
36.1976,27.99773,350.55,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,320.74,28.31,D,0
36.19122,27.97346,344.12,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,308.1,5.52,D,0
36.19779,27.97584,367,0.42,0.61,2023-07-23,1018,N20,VIIRS,h,2,315.17,10.64,D,0
36.19899,27.9804,344.74,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,311.77,16.36,D,0
36.19662,27.97139,356.66,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,310.4,10.64,D,0
36.20318,27.97375,341.14,0.42,0.61,2023-07-23,1018,N20,VIIRS,n,2,309.44,10.64,D,0
36.16982,27.94295,367,0.42,0.61,2023-07-23,1019,N20,VIIRS,h,2,315.42,14.89,D,0
36.16869,27.93881,367,0.42,0.61,2023-07-23,1019,N20,VIIRS,h,2,313.59,15.65,D,0
36.18032,27.98177,349.03,0.42,0.61,2023-07-23,1019,N20,VIIRS,n,2,308.9,3.78,D,0
36.19101,27.99933,367,0.42,0.61,2023-07-23,1019,N20,VIIRS,h,2,309,9.98,D,0
36.18975,27.99464,354.18,0.42,0.61,2023-07-23,1019,N20,VIIRS,n,2,311.38,9.98,D,0
36.18573,27.97977,342,0.42,0.61,2023-07-23,1019,N20,VIIRS,n,2,310.04,3.78,D,0
36.19111,27.97763,367,0.42,0.61,2023-07-23,1019,N20,VIIRS,h,2,309.92,11.56,D,0
36.19772,28.00213,350.71,0.42,0.61,2023-07-23,1019,N20,VIIRS,n,2,307.84,22.63,D,0
36.19649,27.97551,367,0.42,0.61,2023-07-23,1019,N20,VIIRS,h,2,313.62,11.56,D,0
36.19529,27.97106,367,0.42,0.61,2023-07-23,1019,N20,VIIRS,h,2,310.94,11.56,D,0
